MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
323,SCRUM,VALLE,1,TECNICA,BUENO,NO,,
347,KNOCK-ON,VALLE,7,TECNICA,MALO ,NO,,
410,JUEGO SUCIO,RISARALDA ,4,TECNICA,MALO ,NO,,
420,JUEGO AL PIE ,RISARALDA ,5,TACTICA,MALO ,NO,,
428,KNOCK-ON,VALLE,6,TECNICA,MALO ,NO,,
432,SCRUM,RISARALDA ,1,TACTICA,BUENO,NO,,
510,SCRUM,RISARALDA ,-,TECNICA,BUENO,NO,,
540,JUEGO RAPIDO ,VALLE,6,TECNICA,REGULAR,NO,,
546,COMPLETA ,VALLE,7,TECNICA,MALO ,NO,,
555,ERROR DE MANOS ,VALLE,4,TECNICA,MALO ,NO,,
558,PENAL,VALLE,2,FISICO ,MALO ,NO,,
620,LINE OUT,RISARALDA ,-,TACTICA,REGULAR,SI,,
656,ERROR DE MANOS ,VALLE,4,TECNICA,MALO ,SI,,
704,KNOCK-ON,RISARALDA ,7,TECNICA,REGULAR,SI,,
1,KICK-OFF,RISARALDA ,0,TECNICA,BUENO,SI,,
11,PENAL AMARILLA ,VALLE,5,REGLAMENTO,MALO ,NO,,
17,SCRUM,RISARALDA ,4,TACTICA,BUENO,NO,,
47,KNOCK-ON,RISARALDA ,5,TECNICA,MALO ,NO,,
56,PENAL,RISARALDA ,6,TECNICA,REGULAR,NO,,
113,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,,
200,COMPLETA ,VALLE,6,TACTICA,MALO ,NO,,
204,PENAL,VALLE,5,FISICO ,MALO ,NO,,
220,SCRUM,RISARALDA ,1,TECNICA,MALO ,SI,,
240,PENAL,RISARALDA ,1,TECNICA,MALO ,NO,,
251,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,,
254,TRY,VALLE,7,TACTICA,BUENO,SI,,
310,CONVERSION,VALLE,4,TECNICA,MALO ,SI,,
340,KICK-OFF,VALLE,2,TECNICA,BUENO,SI,,
354,KNOCK-ON,RISARALDA ,3,TECNICA,MALO ,SI,,
356,PENAL,RISARALDA ,4,REGLAMENTO,MALO ,NO,,
359,JUEGO RAPIDO ,VALLE,4,TACTICA,REGULAR,NO,,
404,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,,
413,PENAL,RISARALDA ,2,REGLAMENTO,MALO ,NO,,
414,JUEGO RAPIDO ,VALLE,7,TACTICA,MALO ,NO,,
415,TRY,VALLE,7,TACTICA,MALO ,NO,,
445,CONVERSION,VALLE,7,TECNICA,MALO ,SI,,
503,KICK-OFF,VALLE,2,TECNICA,BUENO,NO,,
510,ERROR DE MANOS ,RISARALDA ,2,TECNICA,MALO ,SI,,
540,SCRUM,RISARALDA ,-,REGLAMENTO,MALO ,NO,,
601,JUEGO RAPIDO ,VALLE,3,TACTICA,REGULAR,NO,,
617,PENAL,VALLE,4,TECNICA,MALO ,SI,,
623,JUEGO RAPIDO ,RISARALDA ,5,TACTICA,REGULAR,NO,,
638,JUEGO AL PIE ,RISARALDA ,7,TECNICA,BUENO,NO,,
650,ERROR TACTICO,RISARALDA ,6,COMUNICACION ,MALO ,NO,,
711,PENAL,VALLE,7,REGLAMENTO,MALO ,NO,,
720,JUEGO RAPIDO ,RISARALDA ,7,TACTICA,MALO ,NO,,
723,ERROR TACTICO,RISARALDA ,6,COMUNICACION ,MALO ,NO,,
,,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
4,KICK-OFF,GUAJIRA,2,TECNICA,REGULAR,NO,,
11,ERROR DE MANOS ,META,6,TECNICA,MALO ,NO,,
37,LINE OUT,GUAJIRA,1,TACTICA,REGULAR,NO,,
46,KNOCK-ON,GUAJIRA,5,TECNICA,REGULAR,SI,,
50,PENAL,META,7,REGLAMENTO,MALO ,NO,,
52,JUEGO RAPIDO ,GUAJIRA,5,TACTICA,REGULAR,NO,,
107,PENAL,GUAJIRA,6,TECNICA,MALO ,NO,,
145,LINE OUT,META,1,TECNICA,BUENO,NO,,
158,JUEGO CON EL PIE ,META,6,TACTICA,REGULAR,NO,,
220,LINE OUT,GUAJIRA,-,TECNICA,MALO ,NO,,
310,SCRUM,META,1,TECNICA,BUENO,NO,,
330,KNOCK-ON,META,7,FISICO ,REGULAR,SI,,
358,JUEGO SUCIO,GUAJIRA,3,TECNICA,REGULAR,SI,,
420,ERROR DE MANOS ,GUAJIRA,7,FISICO ,REGULAR,SI,,
456,ERROR DE MANOS ,META,6,FISICO ,REGULAR,SI,,
