MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,lado 
44,PENAL,GUAJIRA,2,REGLAMENTO,MALO ,SI,
45,JUEGO RAPIDO ,ATLANTICO,4,DESICION ,REGULAR,NO,
100,COMPLETA ,ATLANTICO,7,DESICION ,BUENO,NO,
101,PENAL,GUAJIRA,5,FISICO ,MALO ,SI,
107,SCRUM,ATLANTICO,4,DESICION ,BUENO,NO,
152,KNOCK-ON,GUAJIRA,5,REGLAMENTO,MALO ,SI,
221,TRY,ATLANTICO,4,DESICION ,BUENO,SI,
222,CONVERSIÓN,ATLANTICO,5,TECNICA,BUENO,NO,
250,KICK-OFF,ATLANTICO,3,TECNICA,BUENO,NO,D
314,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,SI,
329,VUELTA,GUAJIRA,4,TACTICA,MALO ,NO,
335,ERROR DE MANOS ,GUAJIRA,5,TACTICA,MALO ,NO,
348,VUELTA,GUAJIRA,6,TACTICA,REGULAR,NO,
406,KNOCK-ON,GUAJIRA,7,TECNICA,MALO ,SI,
416,KNOCK-ON,GUAJIRA,6,TECNICA,MALO ,SI,
432,PASS-FORWARD,GUAJIRA,5,FISICO ,MALO ,SI,
438,SCRUM,ATLANTICO,4,TACTICA,BUENO,NO,
505,KNOCK-ON,ATLANTICO,4,DESICION ,MALO ,SI,
511,COMPLETA ,GUAJIRA,7,DESICION ,BUENO,NO,
517,PENAL,ATLANTICO,6,REGLAMENTO,MALO ,NO,
520,JUEGO RAPIDO ,GUAJIRA,6,DESICION ,REGULAR,NO,
528,DUELO ,GUAJIRA,6,TACTICA,MALO ,NO,
529,KNOCK-ON,GUAJIRA,7,TACTICA,MALO ,NO,
535,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
539,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
551,JUEGO RAPIDO ,ATLANTICO,5,TACTICA,MALO ,NO,
607,ERROR DE MANOS ,ATLANTICO,5,FISICO ,MALO ,SI,
620,ERROR DE MANOS ,GUAJIRA,7,FISICO ,MALO ,SI,
642,PENAL,ATLANTICO,5,REGLAMENTO,MALO ,NO,
659,PENAL,ATLANTICO,6,FISICO ,MALO ,SI,
704,JUEGO RAPIDO ,GUAJIRA,4,DESICION ,MALO ,SI,
713,COMPLETA ,GUAJIRA,7,DESICION ,BUENO,NO,
726,ERROR DE MANOS ,GUAJIRA,5,FISICO ,MALO ,SI,
737,KICK-OFF,GUAJIRA,2,TACTICA,REGULAR,NO,I
738,TORRE,ATLANTICO,1,TACTICA,MALO ,NO,
750,SCRUM,ATLANTICO,4,TACTICA,REGULAR,SI,
826,KNOCK-ON,ATLANTICO,7,FISICO ,REGULAR,SI,
835,COMPLETA ,GUAJIRA,7,TACTICA,REGULAR,NO,
840,PENAL,ATLANTICO,6,FISICO ,MALO ,NO,
848,JUEGO RAPIDO ,GUAJIRA,7,TACTICA,REGULAR,NO,
900,TRY,GUAJIRA,4,TACTICA,BUENO,NO,
911,CONVERSIÓN,GUAJIRA,5,TECNICA,BUENO,NO,
930,KICK-OFF,GUAJIRA,4,TACTICA,BUENO,NO,I
946,KNOCK-ON,GUAJIRA,6,FISICO ,MALO ,SI,
960,SCRUM,ATLANTICO,4,TACTICA,BUENO,NO,
1019,PENAL,GUAJIRA,1,REGLAMENTO,MALO ,NO,
1022,JUEGO RAPIDO ,ATLANTICO,7,TACTICA,REGULAR,NO,
1031,DUELO ,ATLANTICO,5,TACTICA,BUENO,SI,
1032,PASE ,ATLANTICO,6,TACTICA,MALO ,NO,
1033,KNOCK-ON,ATLANTICO,5,TECNICA,MALO ,SI,
1037,PASE ,GUAJIRA,6,TECNICA,MALO ,NO,
1044,SCRUM,GUAJIRA,4,TACTICA,MALO ,SI,
1116,PENAL,GUAJIRA,5,FISICO ,MALO ,SI,
1125,SCRUM,ATLANTICO,4,TACTICA,BUENO,NO,
1144,PENAL,GUAJIRA,4,REGLAMENTO,MALO ,NO,
1156,PENAL ROJA ,GUAJIRA,6,REGLAMENTO,MALO ,SI,
