MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
24,ERROR TACTICO,SANTANDER,2,COMUNICACION ,MALO ,NO,
28,JUEGO RAPIDO ,RISARALDA,4,TACTICA,BUENO,NO,
34,COMPLETA ,RISARALDA,7,TACTICA,BUENO,NO,
48,PENAL,SANTANDER,5,REGLAMENTO,MALO ,NO,
49,JUEGO RAPIDO ,RISARALDA,2,TACTICA,MALO ,NO,
55,PENAL AMARILLA ,SANTANDER,4,FISICO ,MALO ,NO,
118,PENAL,RISARALDA,5,TECNICA,MALO ,NO,
128,LINE OUT,SANTANDER,1,TACTICA,REGULAR,NO,
204,ERROR DE MANOS ,SANTANDER,4,TECNICA,MALO ,NO,
211,ERROR DE MANOS ,RISARALDA,4,TECNICA,MALO ,NO,
220,JUEGO CON EL PIE ,RISARALDA,5,TACTICA,REGULAR,NO,
224,LINE OUT,SANTANDER,2,TACTICA,MALO ,NO,
309,SCRUM,RISARALDA,4,REGLAMENTO,MALO ,NO,
334,FREE-KICK,SANTANDER,4,TECNICA,MALO ,NO,
340,LINE OUT,RISARALDA,1,TECNICA,MALO ,NO,
426,ERROR DE MANOS ,SANTANDER,5,TECNICA,MALO ,NO,
449,VENTAJA,SANTANDER,4,TACTICA,REGULAR,NO,
505,PENAL,RISARALDA,5,TECNICA,MALO ,NO,
510,JUEGO RAPIDO ,SANTANDER,5,TACTICA,BUENO,NO,
520,TRY,SANTANDER,6,FISICO ,BUENO,SI,
535,CONVERSIÓN,SANTANDER,4,TECNICA,MALO ,SI,
608,KICK-OFF,SANTANDER,0,TACTICA,BUENO,SI,C
625,ERROR DE MANOS ,RISARALDA,4,TECNICA,MALO ,NO,
631,PENAL,SANTANDER,4,REGLAMENTO,MALO ,NO,
638,ERROR DE MANOS ,RISARALDA,6,TECNICA,MALO ,NO,
655,LINE OUT,SANTANDER,2,TECNICA,BUENO,NO,
713,VENTAJA,SANTANDER,6,TACTICA,REGULAR,NO,
727,COMPLETA ,SANTANDER,7,TACTICA,BUENO,NO,
730,JUEGO CON EL PIE ,SANTANDER,7,TECNICA,REGULAR,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,ANTIOQUIA ,-,TECNICA,MALO ,NO,
10,FREE-KICK,META,4,TACTICA,BUENO,NO,
57,ERROR DE MANOS ,META,6,TECNICA,MALO ,SI,
111,KNOCK-ON,META,5,TECNICA,MALO ,NO,
117,SCRUM,ANTIOQUIA ,1,TECNICA,BUENO,SI,
150,TRY,ANTIOQUIA ,4,FISICO ,BUENO,NO,
200,CONVERSION,ANTIOQUIA ,5,TECNICA,MALO ,SI,
230,KICK-OFF,ANTIOQUIA ,4,TECNICA,BUENO,NO,
304,ERROR DE MANOS ,ANTIOQUIA ,5,TECNICA,MALO ,NO,
307,TRY,ANTIOQUIA ,7,FISICO ,BUENO,SI,
320,CONVERSIÓN,ANTIOQUIA ,7,TECNICA,MALO ,SI,
350,KICK-OFF,ANTIOQUIA ,4,TECNICA,BUENO,NO,
400,ERROR DE MANOS ,ANTIOQUIA ,7,TECNICA,REGULAR,SI,
438,KNOCK-ON,ANTIOQUIA ,6,TECNICA,MALO ,NO,
450,SCRUM,META,4,TACTICA,REGULAR,NO,
512,PENAL,ANTIOQUIA ,1,TECNICA,MALO ,NO,
524,JUEGO SUCIO,META,1,TACTICA,BUENO,NO,
550,ERROR DE MANOS ,META,4,TECNICA,MALO ,NO,
610,QUIEBRE,ANTIOQUIA ,5,FISICO ,BUENO,NO,
620,TRY,ANTIOQUIA ,5,TECNICA,BUENO,SI,
650,CONVERSION,ANTIOQUIA ,7,TECNICA,BUENO,NO,
720,KICK-OFF,ANTIOQUIA ,1,TECNICA,BUENO,NO,
726,VUELTA,META,4,TACTICA,REGULAR,NO,
734,ERROR DE MANOS ,META,7,TACTICA,MALO ,NO,
746,VUELTA,ANTIOQUIA ,6,TACTICA,REGULAR,NO,
750,COMPLETA ,ANTIOQUIA ,7,TACTICA,BUENO,NO,
758,TRY,ANTIOQUIA ,7,TACTICA,BUENO,SI,
805,CONVERSIÓN,ANTIOQUIA ,4,TECNICA,MALO ,SI,
1,KICK-OFF,META,0,TECNICA,MALO ,NO,
10,FREE-KICK,ANTIOQUIA ,4,TACTICA,BUENO,NO,
24,QUIEBRE,ANTIOQUIA ,5,FISICO ,BUENO,NO,
30,TRY,ANTIOQUIA ,5,FISICO ,BUENO,SI,
50,CONVERSION,ANTIOQUIA ,4,TECNICA,BUENO,NO,
110,KICK-OFF,ANTIOQUIA ,4,TECNICA,BUENO,NO,
118,ERROR DE MANOS ,META,7,TACTICA,MALO ,SI,
123,COMPLETA ,ANTIOQUIA ,7,TACTICA,BUENO,NO,
125,TRY,ANTIOQUIA ,7,TACTICA,BUENO,SI,
132,CONVERSION,ANTIOQUIA ,7,TECNICA,MALO ,SI,
210,KICK-OFF,ANTIOQUIA ,4,TECNICA,BUENO,NO,
240,KNOCK-ON,ANTIOQUIA ,5,TECNICA,MALO ,NO,
255,SCRUM,META,4,TECNICA,BUENO,NO,
323,PENAL,ANTIOQUIA ,4,TECNICA,MALO ,NO,
334,SCRUM,META,4,DESICION ,BUENO,NO,
402,PENAL,ANTIOQUIA ,7,REGLAMENTO,MALO ,NO,
412,JUEGO RAPIDO ,META,4,DESICION ,BUENO,NO,
420,JUEGO CON EL PIE ,META,4,TECNICA,BUENO,NO,
434,VENTAJA,META,4,DESICION ,REGULAR,NO,
435,ERROR DE MANOS ,META,5,TECNICA,MALO ,NO,
450,PENAL AMARILLA ,ANTIOQUIA ,4,REGLAMENTO,BUENO,NO,
456,SCRUM,META,4,TECNICA,BUENO,NO,
510,KNOCK-ON,ANTIOQUIA ,5,TECNICA,BUENO,NO,
541,SCRUM,META,4,TACTICA,REGULAR,NO,
615,FREE-KICK,META,4,TACTICA,BUENO,NO,
631,ERROR TACTICO,META,4,COMUNICACION ,MALO ,NO,
650,SCRUM,ANTIOQUIA ,4,TECNICA,BUENO,SI,
721,TRY,ANTIOQUIA ,5,FISICO ,BUENO,SI,
740,CONVERSION,ANTIOQUIA ,4,TECNICA,BUENO,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,ATLANTICO,-,TECNICA,MALO ,NO,
20,FREE-KICK,NORTE,4,TACTICA,BUENO,NO,
38,ERROR DE MANOS ,NORTE,3,COMUNICACION ,MALO ,NO,
45,TRY,NORTE,4,FISICO ,BUENO,NO,
108,CONVERSIÓN,NORTE,4,TECNICA,BUENO,NO,
130,KICK-OFF,NORTE,4,TECNICA,BUENO,NO,
140,KNOCK-ON,NORTE,7,TECNICA,MALO ,SI,
143,PENAL,NORTE,7,REGLAMENTO,MALO ,NO,
